相変わらず,相[あい] 変[か]わらず,as before/usual,
相次いで,相[あい] 次[つ]いで,one after the other,
～相手,～ 相[あい] 手[て],～ partner,
アイデア,アイデア,idea,
あいにく,あいにく,unfortunately,
あいまい,あいまい,"vague, unclear",
遭う,遭[あ]う,to encounter,
～合う,～ 合[あ]う,～ with/to/at each other,
青白い,青[あお] 白[じろ]い,pale,
赤字,赤[あか] 字[じ],"deficit, loss",
あがる,あがる,to get nervous,
～上がる,～ 上[あ]がる,"to be completed, to go up",
飽きっぽい,飽[あ]きっぽい,soon get tired of,
あきらめる,あきらめる,to give up,
飽きる,飽[あ]きる,"to get tired of, to get sick of",
あきれる,あきれる,to be dumbfounded/astounded,
悪～,悪[あく]～,bad ～,
握手,握[あく] 手[しゅ],handshake,
あくび,あくび,yawn,
あくまで,あくまで,"to the last, persistently",
～明け,～ 明[あ]け,"beginning of, after",
明け方,明[あ]け 方[がた],dawn,
明ける,明[あ]ける,"to end, to break",
揚げる,揚[あ]げる,to fry,
～上げる,～ 上[あ]げる,(indicates upward movement),
あこがれる,あこがれる,to long for,
味付け,味[あじ] 付[つ]け,seasoning,
味わう,味[あじ]わう,to taste,
足を延ばす,足[あし]を 延[の]ばす,to extend one's visit,
足を運ぶ,足[あし]を 運[はこ]ぶ,to pay a visit,
足を引っ張る,足[あし]を 引[ひ]っ 張[ぱ]る,"to hold back, to cause trouble",
預ける,預[あず]ける,"to entrust, to leave with",
汗,汗[あせ],sweat,
遊び回る,遊[あそ]び 回[まわ]る,to play around,
与える,与[あた]える,to give,
あたかも,あたかも,as if,
温かみ,温[あたた]かみ,warmth,
温まる,温[あたた]まる,to warm up (vi.),
暖まる,暖[あたた]まる,to warm up (vi.),
温め直す,温[あたた]め 直[なお]す,to reheat,
温める,温[あたた]める,to heat/warm up (vt.),
暖める,暖[あたた]める,to heat/warm up (vt.),
頭が上がらない,頭[あたま]が 上[あ]がらない,to be no match for,
頭が痛い,頭[あたま]が 痛[いた]い,gives someone a headache,
頭が固い,頭[あたま]が 固[かた]い,"obstinate, stubborn",
頭に来る,頭[あたま]に 来[く]る,to get mad,
頭を下げる,頭[あたま]を 下[さ]げる,to bow one's head,
頭を冷やす,頭[あたま]を 冷[ひ]やす,to cool down,
～扱い,～ 扱[あつか]い,treated like a ～,
